,0
terrescommunes/nexploit1968_,
terrescommunes/psurface50p1968_,
terrescommunes/psurface50p_,
terrescommunes/nexploitcanton_,
menagescommunes/nmencomp_,
menagescommunes/permencomp_,
menagescommunes/pmencomp_,
menagescommunes/nmen_,
menagescommunes/plm_,
religiositedepartements/pmessalisants,
dep_num,1.0
