COMMUNE_RESID,circo
02629,02003
02631,02004
02632,02004
02633,02005
02634,02001
02635,02003
02636,02003
02637,02002
02638,02001
02639,02002
02640,02003
02641,02001
02642,02001
02643,02004
02644,02005
02645,02005
02647,02003
02648,02003
02649,02005
02650,02003
02651,02001
02652,02003
02653,02005
02654,02003
02655,02005
02656,02001
02657,02003
02658,02002
02659,02002
02660,02001
02661,02001
02662,02005
02663,02005
02664,02005
02665,02005
02666,02001
02667,02004
02668,02003
02670,02003
02671,02004
02672,02004
02673,02004
02674,02003
02675,02001
02676,02001
02677,02005
02678,02001
02679,02005
02680,02001
02681,02003
02682,02005
02683,02003
02684,02003
02685,02001
02686,02004
02687,02004
02688,02003
02689,02003
02690,02001
02691,02002
02693,02005
02694,02002
02695,02005
02696,02001
02697,02001
02698,02005
02699,02005
02701,02005
02702,02002
02703,02003
02704,02004
02705,02001
02706,02004
02707,02004
02708,02002
02709,02003
02710,02002
02711,02005
02712,02005
02713,02005
02714,02005
02715,02005
02716,02001
02717,02003
02718,02005
02719,02004
02720,02001
02721,02003
02722,02004
02723,02001
02724,02005
02725,02003
02726,02002
02727,02003
02728,02003
02729,02005
02730,02005
02731,02003
02732,02003
02734,02005
02735,02005
02736,02004
02737,02003
02738,02004
02739,02005
02740,02003
02741,02003
02742,02003
02743,02001
02744,02005
02745,02003
02746,02001
02747,02002
02748,02005
02749,02005
02750,02004
02751,02001
02752,02002
02753,02003
02754,02004
02755,02001
02756,02002
02757,02003
02758,02005
02759,02003
02760,02003
02761,02001
02762,02004
02763,02005
02764,02001
02765,02001
02766,02005
02767,02004
02768,02001
02769,02003
02770,02004
02772,02002
02773,02005
02774,02002
02775,02002
02776,02002
02777,02005
02778,02001
02779,02003
02780,02004
02781,02005
02782,02002
02783,02003
02784,02003
02785,02002
02786,02004
02787,02001
02788,02001
02789,02003
02790,02003
02791,02001
02792,02005
02793,02004
02794,02005
02795,02004
02796,02005
02797,02005
02798,02005
02799,02005
02800,02005
02801,02001
02802,02001
02803,02001
02804,02005
02805,02004
02806,02005
02807,02004
02808,02002
02809,02005
02810,02005
02812,02005
02813,02003
02814,02003
02815,02002
02816,02005
02817,02005
02818,02005
02819,02001
02820,02004
02821,02001
02822,02005
02823,02003
02824,02001
02826,02003
02827,02003
02828,02005
02829,02005
02830,02003
02831,02003
02832,02003
02833,02003
02834,02001
03001,03003
03002,03001
03003,03002
03004,03003
03005,03002
03006,03003
03007,03002
03008,03003
03009,03001
03010,03002
03011,03001
03012,03001
03013,03001
03014,03003
03015,03001
03016,03001
03017,03003
03018,03001
03019,03001
03020,03002
03021,03003
03022,03002
03023,03003
03024,03003
03025,03001
03026,03001
03027,03002
03028,03003
03029,03001
03030,03003
03031,03002
03032,03002
03033,03003
03034,03001
03035,03003
03036,03001
03037,03002
03038,03001
03039,03001
03040,03001
03041,03002
03042,03003
03043,03003
03044,03003
03045,03003
03046,03001
03047,03002
03048,03002
03049,03001
03050,03003
03051,03002
03052,03002
03053,03001
03054,03001
03055,03002
03056,03003
03057,03001
03058,03002
03059,03001
03060,03003
03061,03003
03062,03001
03063,03003
03064,03001
03065,03001
03066,03003
03067,03003
03068,03003
03069,03001
03070,03002
03071,03003
03072,03002
03073,03001
03074,03001
03075,03001
03076,03001
03077,03002
03078,03002
03079,03003
03080,03003
03081,03002
03082,03002
03083,03001
03084,03002
03085,03001
03086,03001
03087,03001
03088,03002
03089,03002
03090,03001
03091,03001
03092,03001
03093,03003
03094,03003
03095,03003
03096,03001
03097,03002
03098,03002
03099,03001
03100,03001
03101,03002
03102,03001
03103,03003
03104,03002
03105,03003
03106,03002
03107,03002
03108,03002
03109,03003
03110,03003
03111,03002
03112,03001
03113,03003
03114,03001
03115,03001
03116,03001
03117,03001
03118,03003
03119,03001
03120,03001
03121,03001
03122,03001
03124,03001
03125,03003
03126,03003
03127,03002
03128,03002
03129,03002
03130,03002
03131,03003
03132,03003
03133,03003
03134,03001
03135,03002
03136,03002
03137,03001
03138,03003
03139,03003
